2023-04-27T09:09:46.386 INFO    userServer2 created!;
2023-04-27T09:09:59.097 INFO    Proposer0.0 started request for SIGNUP username=mike;
2023-04-27T09:09:59.103 INFO    Proposer0.0 starting paxos run 1;
2023-04-27T09:09:59.103 INFO    proposer0.0sending prepare to acceptors;
2023-04-27T09:09:59.108 INFO    acceptor0 received message from proposer0.0;
2023-04-27T09:09:59.109 INFO    acceptor0 sending promise back to proposer0.0;
2023-04-27T09:09:59.111 INFO    acceptor1 received message from proposer0.0;
2023-04-27T09:09:59.111 INFO    acceptor1 sending promise back to proposer0.0;
2023-04-27T09:09:59.114 INFO    acceptor2 received message from proposer0.0;
2023-04-27T09:09:59.114 INFO    acceptor2 sending promise back to proposer0.0;
2023-04-27T09:09:59.116 INFO    proposer0.0 processing message of type promise with id=2.0;
2023-04-27T09:09:59.117 INFO    proposer0.0 processing message of type promise with id=2.0;
2023-04-27T09:09:59.118 INFO    acceptor0 received message from proposer0.0;
2023-04-27T09:09:59.119 INFO    acceptor0 sending "accepted" back to proposer0.0;
2023-04-27T09:09:59.120 INFO    acceptor1 received message from proposer0.0;
2023-04-27T09:09:59.120 INFO    acceptor1 sending "accepted" back to proposer0.0;
2023-04-27T09:09:59.123 INFO    acceptor2 received message from proposer0.0;
2023-04-27T09:09:59.123 INFO    learner0 received a message for id=2.0;
2023-04-27T09:09:59.123 INFO    proposer0.0 processing message of type accepted with id=2.0;
2023-04-27T09:09:59.123 INFO    acceptor2 sending "accepted" back to proposer0.0;
2023-04-27T09:09:59.124 INFO    learner0 processing message with id=2.0;
2023-04-27T09:09:59.125 INFO    proposer0.0 processing message of type accepted with id=2.0;
2023-04-27T09:09:59.125 INFO    learner1 received a message for id=2.0;
2023-04-27T09:09:59.127 INFO    proposer0.0 got accept consensus --> SUCCESS!;
2023-04-27T09:09:59.127 INFO    learner1 processing message with id=2.0;
2023-04-27T09:09:59.128 INFO    learner0 received a message for id=2.0;
2023-04-27T09:09:59.128 INFO    proposer confirmed successful signup request;
2023-04-27T09:09:59.129 INFO    learner0 processing message with id=2.0;
2023-04-27T09:09:59.129 INFO    learner2 received a message for id=2.0;
2023-04-27T09:09:59.129 INFO    learner0 received a message for id=2.0;
2023-04-27T09:09:59.130 INFO    learner1 received a message for id=2.0;
2023-04-27T09:09:59.130 INFO    leaner0 received consensus on signup request, email=mike;
2023-04-27T09:09:59.131 INFO    learner1 processing message with id=2.0;
2023-04-27T09:09:59.130 INFO    learner2 processing message with id=2.0;
2023-04-27T09:09:59.132 INFO    leaner1 received consensus on signup request, email=mike;
2023-04-27T09:09:59.132 INFO    learner2 received a message for id=2.0;
2023-04-27T09:09:59.132 INFO    learner1 received a message for id=2.0;
2023-04-27T09:09:59.132 INFO    learner0 processing message with id=2.0;
2023-04-27T09:09:59.134 INFO    learner1 processing message with id=2.0;
2023-04-27T09:09:59.133 INFO    learner2 processing message with id=2.0;
2023-04-27T09:09:59.135 INFO    leaner2 received consensus on signup request, email=mike;
2023-04-27T09:09:59.135 INFO    learner2 received a message for id=2.0;
2023-04-27T09:09:59.136 INFO    learner2 processing message with id=2.0;
